Date : 2021-04-09 14:36:38
Directory : /Users/admin/mysrcs/AdminApprovalFront
Total : 287 files,  94124 codes, 2104 comments, 4636 blanks, all 100864 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src/layouts/header-user                                                                                 |          2 |        138 |          0 |         15 |        153 |
| src/mock                                                                                                |          8 |        246 |         21 |         27 |        294 |
| src/mock/mockdata                                                                                       |          3 |        133 |          6 |          7 |        146 |
| src/models                                                                                              |          2 |         59 |          6 |         16 |         81 |
| src/pages                                                                                               |         39 |      3,817 |         61 |        513 |      4,391 |
| src/pages/approval                                                                                      |          6 |        580 |          2 |         62 |        644 |
| src/pages/approval/info                                                                                 |          3 |        286 |          1 |         30 |        317 |
| src/pages/approval/info/manage                                                                          |          3 |        286 |          1 |         30 |        317 |
| src/pages/approval/manage                                                                               |          3 |        294 |          1 |         32 |        327 |
| src/pages/examples                                                                                      |          1 |         93 |          0 |          9 |        102 |
| src/pages/examples/table-editable                                                                       |          1 |         93 |          0 |          9 |        102 |
| src/pages/gen                                                                                           |          7 |      1,178 |         16 |        171 |      1,365 |
| src/pages/home                                                                                          |          2 |         27 |          0 |          4 |         31 |
| src/pages/iframe                                                                                        |          2 |         33 |          0 |          4 |         37 |
| src/pages/login                                                                                         |          4 |        298 |          3 |         43 |        344 |
| src/pages/login/banner                                                                                  |          2 |         79 |          0 |         14 |         93 |
| src/pages/menus                                                                                         |          3 |        224 |         13 |         49 |        286 |
| src/pages/organizes                                                                                     |          7 |        701 |         14 |         94 |        809 |
| src/pages/organizes/cat                                                                                 |          2 |        231 |          4 |         28 |        263 |
| src/pages/roles                                                                                         |          3 |        331 |          1 |         35 |        367 |
| src/pages/user-center                                                                                   |          1 |         23 |          0 |          2 |         25 |
| src/pages/users                                                                                         |          2 |        303 |          6 |         35 |        344 |
| src/router                                                                                              |          3 |        101 |         29 |         27 |        157 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/admin/mysrcs/AdminApprovalFront/README.md                                                        | Markdown         |        108 |          0 |         31 |        139 |
| /Users/admin/mysrcs/AdminApprovalFront/config/dll/reactVendor-manifest.json                             | JSON             |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/config/dll/reactVendor_4d7df80752767b89ebdf.dll.js               | JavaScript       |          7 |         36 |          0 |         43 |
| /Users/admin/mysrcs/AdminApprovalFront/config/dll/vendor-manifest.json                                  | JSON             |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/config/dll/vendor_4d7df80752767b89ebdf.dll.js                    | JavaScript       |          6 |         22 |          0 |         28 |
| /Users/admin/mysrcs/AdminApprovalFront/config/env.js                                                    | JavaScript       |         62 |         33 |         11 |        106 |
| /Users/admin/mysrcs/AdminApprovalFront/config/getHttpsConfig.js                                         | JavaScript       |         51 |          7 |          9 |         67 |
| /Users/admin/mysrcs/AdminApprovalFront/config/modules.js                                                | JavaScript       |         81 |         35 |         26 |        142 |
| /Users/admin/mysrcs/AdminApprovalFront/config/paths.js                                                  | JavaScript       |         51 |         10 |         11 |         72 |
| /Users/admin/mysrcs/AdminApprovalFront/config/pnpTs.js                                                  | JavaScript       |         32 |          0 |          4 |         36 |
| /Users/admin/mysrcs/AdminApprovalFront/config/route-loader.js                                           | JavaScript       |        153 |         28 |         46 |        227 |
| /Users/admin/mysrcs/AdminApprovalFront/config/webpack.config.js                                         | JavaScript       |        412 |        285 |         16 |        713 |
| /Users/admin/mysrcs/AdminApprovalFront/config/webpack.dll.config.js                                     | JavaScript       |         47 |          1 |          2 |         50 |
| /Users/admin/mysrcs/AdminApprovalFront/config/webpackDevServer.config.js                                | JavaScript       |         55 |         70 |          6 |        131 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/AJAX.md                                                     | Markdown         |         90 |          0 |         19 |        109 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/GEN.md                                                      | Markdown         |         60 |          0 |         12 |         72 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/LAYOUT.md                                                   | Markdown         |         59 |          0 |         14 |         73 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/MENU.md                                                     | Markdown         |         25 |          0 |          5 |         30 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/MOCK.md                                                     | Markdown         |         72 |          0 |         13 |         85 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/MODAL_PAGE.md                                               | Markdown         |         47 |          0 |         11 |         58 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/MODEL.md                                                    | Markdown         |        251 |          0 |         59 |        310 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/NGINX.md                                                    | Markdown         |        127 |          0 |         14 |        141 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/OTHER.md                                                    | Markdown         |         36 |          0 |         11 |         47 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/PAGE.md                                                     | Markdown         |         95 |          0 |         23 |        118 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/PERMISSION.md                                               | Markdown         |         25 |          0 |          7 |         32 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/PROXY.md                                                    | Markdown         |         21 |          0 |          9 |         30 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/README.md                                                   | Markdown         |         45 |          0 |          7 |         52 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/ROUTE.md                                                    | Markdown         |         44 |          0 |          8 |         52 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/START.md                                                    | Markdown         |         60 |          0 |         20 |         80 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/STYLE.md                                                    | Markdown         |         32 |          0 |         10 |         42 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/_coverpage.md                                               | Markdown         |          7 |          0 |          5 |         12 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/_sidebar.md                                                 | Markdown         |         16 |          0 |          1 |         17 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/antd.min.css                                          | CSS              |     24,706 |         25 |          1 |     24,732 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/asset-manifest.json                                   | JSON             |         68 |          0 |          0 |         68 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/index.html                                            | HTML             |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/manifest.json                                         | JSON             |         15 |          0 |          1 |         16 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/precache-manifest.162c142352bab166dfa0066a83023063.js | JavaScript       |        182 |          0 |          0 |        182 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/precache-manifest.8e10303f3508a0f5bc3a311652ad4041.js | JavaScript       |        126 |          0 |          0 |        126 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/precache-manifest.90de84f490c46897bac0e9a486a70872.js | JavaScript       |        182 |          0 |          0 |        182 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/precache-manifest.ad50403984fbd28c799d4e82068a9b70.js | JavaScript       |        182 |          0 |          0 |        182 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/precache-manifest.e1f39ccc423799a58730a0c35faf74c1.js | JavaScript       |        126 |          0 |          0 |        126 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/precache-manifest.e8b90b9735fed049e1418352398a16fb.js | JavaScript       |        182 |          0 |          0 |        182 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/service-worker.js                                     | JavaScript       |         15 |         17 |          8 |         40 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/10.e52b1923.chunk.css                      | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/11.ef9b3fec.chunk.css                      | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/13.cd9bebb0.chunk.css                      | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/14.acc0c57d.chunk.css                      | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/15.26ba442e.chunk.css                      | CSS              |          0 |          1 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/2.0e5fe661.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/2.48a77e21.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/2.e6157a56.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/3.48bf13c9.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/3.a4d804a2.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/4.6c5f24a7.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/4.8e9afd67.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/4.e55e7e67.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/5.480acc6e.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/5.487de9c6.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/5.5117689a.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/5.9adaf640.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/6.22df6a94.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/7.26ba442e.chunk.css                       | CSS              |          0 |          1 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/8.ce064712.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/8.eba20bf2.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/9.7112efb3.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/9.898172fa.chunk.css                       | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/main.3811ac11.chunk.css                    | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/main.4813b85f.chunk.css                    | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/main.5af4872f.chunk.css                    | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/css/main.9e05d152.chunk.css                    | CSS              |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/10.2e0d2883.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/10.58a8a03c.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/10.8a3c8a06.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/11.790498ac.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/11.b3c770c5.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/11.e628ff0a.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/12.4b663524.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/12.b21079ac.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/12.ce440f3a.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/13.61f498d3.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/13.7df905c7.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/13.e030edc8.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/14.3cbf6140.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/14.47abbe11.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/14.6606b982.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/15.5ef7096c.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/15.a19dfec0.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/15.e85a7f81.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/16.834c635c.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/17.82ef266b.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/18.2029092d.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/19.627e797c.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/2.5c258d60.chunk.js                         | JavaScript       |          1 |          2 |          0 |          3 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/2.cb2a63c1.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/2.cc58408a.chunk.js                         | JavaScript       |          1 |          2 |          0 |          3 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/20.7a6ca9a5.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/21.4aff8b4e.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/22.c0b44b6d.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/23.6685a99a.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/24.635a49a5.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/25.6388233a.chunk.js                        | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/3.0465600e.chunk.js                         | JavaScript       |          1 |          2 |          0 |          3 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/3.56265d13.chunk.js                         | JavaScript       |          1 |          2 |          0 |          3 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/3.88158476.chunk.js                         | JavaScript       |          1 |          2 |          0 |          3 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/4.59fc87fa.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/4.734ed774.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/4.8c488653.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/5.35627b5d.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/5.52ace062.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/5.8fce10bc.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/6.146ad295.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/6.1fa97838.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/6.952dbe24.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/7.18ec7c52.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/7.db380421.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/7.fb278e38.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/8.759f75c9.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/8.8417d7c4.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/8.f7c0e9a6.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/9.0170b136.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/9.b19721a7.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/9.bc0d29f6.chunk.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/main.0f012487.chunk.js                      | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/main.a7b8313f.chunk.js                      | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/main.aee23aaa.chunk.js                      | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/main.c1d4628c.chunk.js                      | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/main.cd89c00e.chunk.js                      | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/main.ecacc641.chunk.js                      | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/reactVendor_176180990e8e122c54da.dll.js     | JavaScript       |          7 |         36 |          0 |         43 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/reactVendor_45666092243205e01b0c.dll.js     | JavaScript       |          7 |         36 |          0 |         43 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/reactVendor_4d7df80752767b89ebdf.dll.js     | JavaScript       |          7 |         36 |          0 |         43 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/runtime-main.61db73bf.js                    | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/runtime-main.62169a42.js                    | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/runtime-main.7eda95ad.js                    | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/runtime-main.95669797.js                    | JavaScript       |          1 |          1 |          0 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/vendor_176180990e8e122c54da.dll.js          | JavaScript       |          6 |         22 |          0 |         28 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/vendor_45666092243205e01b0c.dll.js          | JavaScript       |          6 |         22 |          0 |         28 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/build/static/js/vendor_4d7df80752767b89ebdf.dll.js          | JavaScript       |          6 |         22 |          0 |         28 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/index.html                                                  | HTML             |         74 |          0 |          4 |         78 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/css/dark-mode@0.6.1.css                                 | CSS              |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/docsify.js                                              | JavaScript       |      4,253 |        546 |        955 |      5,754 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/docsify.min.js                                          | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/js/codefund.js                                          | JavaScript       |         49 |          0 |          7 |         56 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/js/dark-mode@0.6.1.js                                   | JavaScript       |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/js/prism-bash.min.js                                    | JavaScript       |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/js/prism-markdown.min.js                                | JavaScript       |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/js/prism-nginx.min.js                                   | JavaScript       |          1 |          0 |          0 |          1 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/disqus.js                                       | JavaScript       |         45 |          2 |          9 |         56 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/disqus.min.js                                   | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/emoji.js                                        | JavaScript       |      1,522 |          2 |          3 |      1,527 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/emoji.min.js                                    | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/external-script.js                              | JavaScript       |         21 |          0 |          8 |         29 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/external-script.min.js                          | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/front-matter.js                                 | JavaScript       |        382 |         53 |         62 |        497 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/front-matter.min.js                             | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/ga.js                                           | JavaScript       |         33 |          2 |          9 |         44 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/ga.min.js                                       | JavaScript       |          1 |          0 |          1 |          2 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/gitalk.js                                       | JavaScript       |         20 |          2 |          6 |         28 |
| /Users/admin/mysrcs/AdminApprovalFront/docs/lib/plugins/gitalk.min.js                                   | JavaScript       |          1 |          0 |          1 |          2 |
