"filename", "language", "JavaScript", "JavaScript React", "TypeScript React", "Less", "CSS", "TypeScript", "JSON", "Markdown", "Properties", "HTML", "Log", "comment", "blank", "total"
"/Users/admin/mysrcs/AdminApprovalFront/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 31, 139
"/Users/admin/mysrcs/AdminApprovalFront/config/dll/reactVendor-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/mysrcs/AdminApprovalFront/config/dll/reactVendor_4d7df80752767b89ebdf.dll.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 43
"/Users/admin/mysrcs/AdminApprovalFront/config/dll/vendor-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/admin/mysrcs/AdminApprovalFront/config/dll/vendor_4d7df80752767b89ebdf.dll.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 28
"/Users/admin/mysrcs/AdminApprovalFront/config/env.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 106
"/Users/admin/mysrcs/AdminApprovalFront/config/getHttpsConfig.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 67
"/Users/admin/mysrcs/AdminApprovalFront/config/modules.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 26, 142
"/Users/admin/mysrcs/AdminApprovalFront/config/paths.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 72
"/Users/admin/mysrcs/AdminApprovalFront/config/pnpTs.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/admin/mysrcs/AdminApprovalFront/config/route-loader.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 46, 227
"/Users/admin/mysrcs/AdminApprovalFront/config/webpack.config.js", "JavaScript", 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 16, 713
"/Users/admin/mysrcs/AdminApprovalFront/config/webpack.dll.config.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 50
"/Users/admin/mysrcs/AdminApprovalFront/config/webpackDevServer.config.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 6, 131
"/Users/admin/mysrcs/AdminApprovalFront/docs/AJAX.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 19, 109
"/Users/admin/mysrcs/AdminApprovalFront/docs/GEN.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 12, 72
